05236-1025	8.16	8.37	0.21	1.131
05239-0052	6.87	6.96	0.09	3.181
05240+2458	8.65	8.54	0.11	1.35
05245-0224	3.56	4.87	1.31	1.827
05247+6323	7.86	8.5	0.64	1.11
05248+6444	8.13	8.92	0.79	1.397
05252+0155	7.74	8.9	1.16	2.772
05252-1119	8.61	8.91	0.3	10.3
05256+3803	7.9	8.61	0.71	8.935
05259-3521	7.84	8.35	0.51	7.346
05265+0256	6.7	8.59	1.89	3.157
05268+0306	4.57	8.62	4.05	2.979
05270-6837	6.66	6.95	0.29	1.431
05282-2046	2.9	7.5	4.6	2.68
05293+2509	5.83	6.68	0.85	4.727
05301+2933	7.5	8.76	1.26	1.36
05308+0557	4.44	5.75	1.31	1.25
05309+1015	7.9	8.59	0.69	1.15
05312+0318	5.71	6.74	1.03	1.849
05312-4219	7.19	7.82	0.63	7.337
05322+1703	6.06	6.44	0.38	9.671
05323+4924	7.47	7.54	0.07	7.72
05331-0143	6.67	8.22	1.55	1.614
05347-0424	7.74	8.25	0.51	1.809
05351+0956	3.51	5.45	1.94	4.17
05353-0523	6.55	7.49	0.94	8.829
05353-0523	5.06	6.38	1.32	13.269
05354-0450	4.61	7.5	2.89	1.189
05354-0555	2.77	7.73	4.96	11.42
05355-0422	6.43	8.39	1.96	4.233
05359-0538	7.33	8.54	1.21	0.88
05364+2200	7.09	7.47	0.38	4.124
05371+4150	7.45	8.57	1.12	2.597
05371+2655	6.54	6.55	0.01	1.113
05381-0011	7.96	8.33	0.37	1.494
05381-0011	8.69	8.52	0.17	11.35
05386+3030	5.46	8.41	2.95	12.04
05386-0233	8.39	8.55	0.16	8.519
05387-0236	3.76	6.56	2.8	12.91
05397-2026	6.87	7.94	1.07	10.938
05399+3757	7.92	8.21	0.29	0.857
05403+1521	7	8.36	1.36	10.09
05407-0157	1.88	3.7	1.82	2.377
05459+2555	7.27	8.32	1.05	14.65
05460-0416	6.43	8.98	2.55	6.983
05474+2939	7.77	8.24	0.47	1.67
05480+0627	5.99	6.03	0.04	0.96
05482-4855	7.33	8.58	1.25	1.03
05491+6248	6.55	7.51	0.96	0.85
